Age,Department,JobRole,Education,MonthlyIncome,YearsAtCompany,JobSatisfaction,WorkLifeBalance,OverTime,Attrition
50,Finance,Junior,Bachelor,136752,1,3,3,1,0
57,IT,Executive,Master,57402,10,1,2,0,1
43,Operations,Executive,PhD,92825,6,4,4,1,0
59,Sales,Manager,Master,66960,1,1,4,0,0
35,Operations,Senior,Master,137674,18,4,2,0,0
49,IT,Executive,Bachelor,159328,13,4,4,0,0
56,Finance,Junior,Bachelor,118441,15,3,3,1,0
33,Operations,Executive,High School,38543,18,3,2,1,1
52,Operations,Executive,PhD,50720,16,2,2,1,1
27,HR,Junior,PhD,67855,8,3,2,0,0
42,IT,Manager,Master,124381,10,1,4,0,0
48,Finance,Manager,PhD,162222,6,1,3,1,1
22,HR,Junior,PhD,95640,6,4,4,0,0
26,Sales,Executive,PhD,78363,2,2,1,0,1
48,Finance,Senior,PhD,38395,17,1,4,0,1
48,HR,Manager,High School,131939,15,3,1,0,0
40,Sales,Executive,Bachelor,83547,2,4,1,0,0
50,Finance,Executive,Bachelor,84026,15,2,2,0,1
31,HR,Junior,PhD,136818,15,1,1,1,1
48,Finance,Manager,High School,142101,14,1,1,1,1
45,Operations,Executive,PhD,92020,10,2,4,0,0
59,HR,Junior,PhD,131512,6,2,3,1,0
53,Operations,Junior,High School,25332,16,2,4,0,1
21,HR,Senior,PhD,110056,7,3,3,1,0
47,Operations,Junior,Bachelor,146820,17,2,3,1,0
33,IT,Junior,Bachelor,172053,5,4,4,1,0
23,Operations,Manager,High School,118065,10,4,2,0,0
59,IT,Manager,Bachelor,64761,14,4,4,0,0
26,Finance,Junior,Bachelor,151694,18,4,2,1,0
28,Sales,Senior,PhD,46188,18,4,2,1,0
47,Sales,Executive,Bachelor,32548,2,4,2,1,1
29,Sales,Junior,Master,133248,9,4,4,1,0
57,IT,Junior,High School,155250,9,1,1,1,1
53,Sales,Manager,Master,39441,19,1,3,0,1
44,Sales,Senior,PhD,61340,9,1,3,0,0
35,Operations,Senior,PhD,150246,12,2,1,0,1
52,Sales,Executive,High School,104056,7,4,2,1,0
52,IT,Manager,High School,141539,13,1,2,0,1
44,Operations,Manager,High School,101638,19,1,2,0,1
32,IT,Junior,High School,108539,0,4,1,1,1
59,HR,Junior,PhD,129334,6,2,4,1,0
22,Sales,Senior,PhD,158791,9,3,3,1,0
23,IT,Junior,PhD,189113,19,2,3,0,0
57,IT,Senior,Master,139109,19,1,3,1,0
37,Operations,Manager,High School,49953,3,1,1,0,1
22,HR,Executive,High School,111998,14,3,3,0,0
22,HR,Executive,Bachelor,144065,14,4,3,0,0
48,Sales,Executive,High School,145433,15,3,1,0,0
43,Finance,Senior,Master,177426,18,2,3,0,0
57,Finance,Senior,PhD,80385,0,1,4,0,0
52,Operations,Executive,Bachelor,53626,19,3,1,1,0
53,Sales,Manager,Bachelor,47767,10,3,3,1,0
21,Operations,Senior,Master,74369,3,3,4,1,0
39,Sales,Senior,High School,24621,12,3,1,0,0
22,HR,Manager,Master,109331,11,4,4,1,0
46,Finance,Junior,Bachelor,148017,0,4,3,1,0
52,IT,Senior,Master,163731,1,3,3,1,0
26,Finance,Senior,PhD,159476,16,4,4,1,0
52,Sales,Executive,PhD,180319,3,3,1,1,0
24,Finance,Executive,Master,53880,0,4,1,1,1
31,IT,Junior,PhD,168104,13,3,1,0,0
37,HR,Manager,PhD,157736,7,4,4,0,0
58,HR,Executive,High School,31189,0,2,1,0,1
44,Sales,Senior,High School,109295,12,4,2,1,0
25,Finance,Executive,PhD,85681,9,1,2,0,1
54,Sales,Junior,PhD,88973,3,1,3,1,0
26,Finance,Executive,Bachelor,94585,15,1,3,0,0
42,Operations,Senior,PhD,94986,2,3,1,0,0
31,Sales,Senior,PhD,94308,4,3,3,1,0
36,Finance,Junior,Bachelor,138511,2,2,2,0,1
53,Operations,Junior,High School,114720,12,2,2,1,1
29,Sales,Junior,Bachelor,103598,12,1,1,0,1
26,HR,Senior,High School,27781,2,1,4,0,0
36,Operations,Executive,High School,64076,8,4,3,0,0
49,Sales,Executive,Master,70718,11,1,4,0,0
23,IT,Executive,Master,151224,0,1,3,1,1
40,HR,Manager,Master,151843,12,2,3,0,0
56,Operations,Executive,High School,135002,3,3,4,1,0
39,Finance,Junior,Master,47238,7,3,3,0,0
46,IT,Manager,High School,96325,12,2,4,1,1
23,Finance,Senior,Master,75168,9,1,2,1,1
39,IT,Senior,Bachelor,165731,19,3,2,1,0
40,Sales,Manager,Master,134112,4,3,4,0,0
52,Sales,Senior,High School,111757,6,2,1,0,0
27,Finance,Senior,Master,50927,18,1,4,1,0
53,Finance,Manager,High School,175717,13,1,4,0,0
59,Finance,Manager,Master,22207,16,4,3,1,0
38,Operations,Junior,Master,52806,19,3,4,0,0
21,HR,Junior,PhD,23245,8,1,2,1,1
31,Finance,Executive,Bachelor,62331,18,4,4,0,0
48,Sales,Executive,Bachelor,60156,18,2,1,0,1
45,Sales,Manager,Master,130641,18,2,1,1,1
43,Finance,Junior,Bachelor,184640,6,4,4,1,0
51,Finance,Manager,PhD,181998,16,1,3,0,0
50,Sales,Manager,High School,46564,9,3,4,1,0
55,Operations,Manager,PhD,103276,10,2,3,0,0
27,IT,Manager,Master,59210,5,1,3,0,0
36,Sales,Executive,Master,81509,14,1,3,0,0
46,IT,Manager,High School,53583,15,3,2,1,0
22,Finance,Senior,PhD,195126,9,4,1,0,0
21,HR,Executive,High School,171758,2,3,4,1,0
32,Finance,Senior,High School,46245,13,1,4,0,0
25,Finance,Junior,PhD,121909,6,1,2,0,1
57,Finance,Executive,PhD,26284,12,3,1,1,1
52,Sales,Senior,Bachelor,145938,7,4,2,0,0
29,Sales,Senior,PhD,73796,8,1,1,0,1
55,HR,Manager,Bachelor,181586,8,1,3,1,0
39,IT,Manager,PhD,70339,19,1,3,1,1
36,IT,Executive,Master,193384,15,4,2,0,0
23,IT,Executive,Master,104035,19,2,1,1,1
40,Finance,Manager,PhD,166365,16,2,2,1,1
44,HR,Senior,PhD,179902,17,3,2,0,0
53,Finance,Executive,High School,190503,7,1,3,0,0
44,HR,Executive,Bachelor,163831,15,2,3,0,0
31,Operations,Manager,Bachelor,176357,1,1,4,1,1
28,Sales,Manager,PhD,62476,6,3,1,1,0
56,Finance,Executive,PhD,192192,17,4,4,0,0
58,Operations,Senior,Bachelor,38266,0,3,4,0,0
40,IT,Executive,PhD,194636,3,1,3,0,0
55,Operations,Manager,PhD,171181,9,3,2,1,0
45,Sales,Executive,High School,58487,11,4,4,0,0
55,Sales,Executive,PhD,118081,16,3,1,0,0
45,Sales,Senior,Master,108022,12,3,1,0,0
49,Operations,Executive,Bachelor,88762,4,4,2,1,1
38,IT,Senior,Master,77287,13,2,1,1,1
38,Finance,Manager,Bachelor,181677,8,4,1,1,0
22,IT,Junior,High School,105319,6,2,4,0,0
55,HR,Manager,Master,196419,9,4,4,1,0
36,HR,Executive,Bachelor,77173,16,2,2,1,1
56,Finance,Manager,Bachelor,123015,14,3,3,0,0
53,Sales,Junior,PhD,45676,9,2,3,1,0
24,Finance,Manager,PhD,49178,1,2,3,0,0
53,Operations,Executive,High School,124250,10,1,2,1,1
34,Sales,Executive,Master,158263,10,3,2,1,0
41,Finance,Executive,PhD,199028,15,4,2,0,0
40,Finance,Manager,Master,104332,0,2,3,1,1
28,Operations,Junior,Master,29993,10,1,4,0,1
27,Operations,Senior,PhD,145448,12,2,1,1,1
23,IT,Junior,Master,175685,5,3,2,1,0
37,HR,Junior,PhD,139969,7,3,1,0,0
53,Finance,Junior,Master,137056,13,3,3,0,0
32,IT,Manager,Bachelor,162661,9,4,4,0,0
42,Sales,Manager,Bachelor,37530,6,4,1,1,1
42,Sales,Junior,High School,64896,7,3,1,0,0
50,HR,Junior,High School,51048,9,2,3,1,0
58,Sales,Senior,Bachelor,188072,3,1,1,0,0
58,HR,Junior,PhD,89001,16,2,3,1,0
28,Sales,Senior,PhD,36468,0,3,4,0,0
47,Sales,Junior,PhD,160922,11,4,4,0,0
47,Finance,Senior,High School,180093,13,4,3,0,0
54,Operations,Senior,Bachelor,115609,19,1,4,1,0
41,Finance,Manager,Bachelor,127455,7,3,1,1,0
50,IT,Senior,PhD,71609,16,4,3,1,0
53,Operations,Manager,PhD,34784,6,2,2,0,1
48,Finance,Manager,PhD,118283,4,3,1,0,0
53,Operations,Junior,High School,129326,14,1,2,0,1
25,Operations,Junior,High School,76728,10,1,2,1,1
39,Operations,Junior,PhD,81822,14,3,2,0,0
24,Sales,Executive,PhD,84970,1,2,1,1,1
55,Operations,Executive,PhD,130506,18,1,2,1,1
37,Sales,Senior,PhD,120740,7,2,1,0,0
48,Operations,Manager,Bachelor,107255,16,1,1,0,1
50,Sales,Executive,Master,106288,13,2,1,1,1
49,Operations,Senior,PhD,133875,10,2,1,1,1
26,IT,Senior,High School,56052,11,3,4,0,0
55,Finance,Executive,High School,35969,9,2,4,1,1
57,Operations,Manager,Bachelor,148969,5,4,2,1,0
44,IT,Executive,Master,132338,3,4,2,1,0
49,Finance,Senior,Bachelor,28179,0,4,3,0,0
51,HR,Senior,PhD,61286,1,3,2,1,1
55,Operations,Executive,Master,39471,13,1,1,1,1
53,HR,Junior,Master,145428,3,3,2,0,0
41,Finance,Executive,High School,80429,4,4,1,0,0
52,Finance,Senior,High School,105575,14,4,2,0,0
43,Operations,Senior,Bachelor,20067,8,4,3,0,0
53,IT,Executive,PhD,158239,15,2,3,0,0
23,Operations,Senior,Bachelor,114182,12,3,1,0,0
38,IT,Senior,Bachelor,92954,2,3,4,0,0
45,Operations,Junior,Bachelor,101177,4,2,4,1,1
51,IT,Junior,Bachelor,196137,5,2,3,0,0
23,Sales,Executive,Bachelor,127722,9,1,4,1,0
44,IT,Executive,PhD,73738,14,2,2,1,1
52,IT,Senior,PhD,46769,16,2,2,1,1
42,Finance,Senior,Master,111031,6,4,1,0,0
43,HR,Junior,High School,89414,0,1,1,0,1
22,Operations,Junior,PhD,165864,7,1,4,1,1
47,Finance,Manager,Bachelor,178597,1,1,3,1,1
22,HR,Manager,Bachelor,118469,12,3,1,1,1
46,Finance,Manager,Master,179822,3,2,2,0,1
37,Finance,Executive,PhD,147188,6,3,2,0,0
53,Operations,Senior,High School,168367,18,3,4,1,0
29,Sales,Executive,PhD,184148,10,2,2,1,1
59,Finance,Junior,PhD,113406,12,2,3,0,0
49,Operations,Manager,Master,144419,15,3,1,0,0
46,IT,Manager,PhD,99239,5,1,3,1,0
55,HR,Executive,High School,185188,15,3,1,1,0
45,Operations,Senior,Master,171161,3,1,4,0,0
44,Sales,Manager,Bachelor,113390,0,3,2,0,0
33,Operations,Executive,Bachelor,68787,11,4,2,0,0
27,Operations,Senior,High School,148218,8,4,4,1,0
56,IT,Junior,Bachelor,87367,16,2,3,0,0
40,HR,Senior,PhD,122700,5,3,2,1,0
21,HR,Manager,PhD,122211,9,4,4,1,0
28,Sales,Junior,Master,84500,11,1,2,0,1
36,HR,Senior,High School,139526,13,3,4,0,0
34,IT,Senior,Master,138374,19,2,3,0,0
32,Sales,Manager,Master,170677,5,3,4,0,0
43,IT,Executive,PhD,187605,9,2,2,0,1
35,IT,Executive,Master,147455,18,1,4,1,1
48,Operations,Manager,Master,179867,17,4,2,0,0
54,Operations,Senior,High School,108795,3,2,4,0,0
22,Operations,Manager,High School,35009,5,4,2,0,0
52,Finance,Senior,PhD,54231,16,4,4,0,0
43,IT,Manager,PhD,182434,18,1,4,1,1
42,HR,Manager,Master,190192,8,1,3,0,0
45,Sales,Executive,Master,28074,3,4,1,1,1
42,Finance,Manager,PhD,107457,4,1,1,1,1
42,Operations,Executive,High School,180273,4,2,1,1,1
26,Finance,Manager,PhD,104377,7,3,4,0,0
35,Finance,Junior,PhD,85266,4,3,1,1,0
57,IT,Junior,High School,133009,8,2,1,1,1
53,IT,Executive,Master,192494,16,1,4,0,0
28,HR,Junior,Bachelor,24393,14,4,2,0,1
25,Sales,Junior,PhD,62659,0,4,3,1,0
59,Sales,Senior,Bachelor,123938,0,4,1,0,0
24,Operations,Senior,High School,138855,12,1,2,1,1
26,HR,Senior,Bachelor,126056,14,2,2,0,1
52,Sales,Manager,High School,33935,17,1,4,0,1
50,Finance,Junior,PhD,47766,7,2,3,1,0
55,Finance,Junior,Master,96956,10,2,4,1,0
36,Sales,Executive,Bachelor,84425,17,2,3,1,1
33,Finance,Junior,High School,160069,6,4,3,0,0
50,Finance,Executive,PhD,116440,17,3,2,0,0
39,Operations,Junior,High School,105940,19,3,2,0,0
37,Finance,Junior,PhD,159499,0,4,1,1,1
39,Sales,Manager,Master,65245,13,4,3,1,0
48,IT,Junior,Master,181037,8,3,1,0,0
46,Finance,Junior,PhD,55104,16,4,3,1,0
57,Sales,Executive,Master,121865,12,3,2,1,0
46,Finance,Manager,PhD,177176,16,3,2,0,0
43,HR,Executive,Bachelor,166785,11,4,3,1,0
29,Operations,Manager,Bachelor,59868,14,4,1,1,0
32,IT,Executive,Master,180706,6,2,2,0,1
21,Finance,Senior,High School,65721,17,3,3,0,0
21,Sales,Junior,Bachelor,75720,3,1,3,0,0
54,IT,Executive,High School,88457,12,2,2,0,1
52,Finance,Junior,PhD,83658,15,2,2,0,1
45,HR,Manager,Master,159588,19,3,1,0,0
21,Sales,Executive,PhD,162180,2,2,4,1,0
36,Operations,Executive,Bachelor,39573,8,3,3,0,0
59,Finance,Executive,PhD,88716,15,3,2,0,0
25,Sales,Manager,Master,43516,14,4,4,0,0
42,Finance,Manager,PhD,187859,19,4,3,0,0
49,Operations,Executive,Master,187924,16,4,3,0,0
23,HR,Manager,Bachelor,195925,18,3,3,1,0
32,Operations,Junior,PhD,38132,7,1,1,0,1
46,Operations,Manager,PhD,140002,8,1,4,0,0
36,Operations,Junior,Master,199622,9,1,1,1,1
57,IT,Senior,PhD,177292,4,3,3,0,0
42,Sales,Executive,PhD,197682,15,2,3,0,0
49,Finance,Senior,High School,190627,6,2,1,0,0
34,HR,Manager,PhD,68532,6,2,4,0,0
48,Finance,Executive,PhD,168641,11,3,4,1,0
25,IT,Manager,Bachelor,89168,15,4,2,1,1
50,HR,Senior,High School,28945,8,2,1,1,1
25,IT,Senior,Master,90900,13,4,3,1,0
32,Finance,Junior,High School,20689,2,4,4,1,0
36,HR,Senior,PhD,165174,3,1,2,1,1
46,Finance,Manager,Bachelor,137343,15,4,1,0,0
46,Sales,Executive,Master,23863,11,1,3,1,1
41,IT,Junior,High School,188742,8,1,3,0,0
59,Sales,Junior,High School,132966,13,4,1,1,0
56,Sales,Executive,High School,136936,0,1,3,1,1
53,Finance,Senior,High School,51711,0,4,3,0,0
50,Finance,Executive,PhD,34514,5,4,4,0,0
57,Operations,Junior,High School,101246,17,2,2,1,1
43,Operations,Executive,PhD,96016,1,3,4,0,0
30,HR,Senior,PhD,69435,0,3,4,0,0
25,Finance,Executive,Master,97542,14,1,4,0,0
56,IT,Junior,Master,98959,8,3,1,1,0
54,Finance,Senior,Master,158435,11,1,3,0,0
51,Finance,Junior,Master,85630,19,3,4,1,0
30,Sales,Manager,Bachelor,109027,16,3,4,1,0
39,Sales,Manager,Bachelor,111594,2,3,3,1,0
52,Operations,Manager,Master,152098,7,3,1,0,0
21,HR,Senior,Master,22007,6,3,4,1,0
25,HR,Executive,Bachelor,40441,14,3,1,0,0
24,Finance,Senior,Bachelor,168614,9,4,2,0,0
36,IT,Manager,Master,118776,17,3,1,0,0
44,Sales,Executive,Bachelor,71288,0,1,1,1,1
36,IT,Executive,Master,192996,6,2,3,1,0
22,Sales,Executive,PhD,81700,7,2,4,1,0
48,Finance,Junior,High School,154224,8,4,1,1,0
52,HR,Executive,Bachelor,198423,9,3,3,1,0
47,Finance,Manager,Bachelor,129506,5,1,4,1,0
40,Sales,Senior,Master,168473,16,4,4,0,0
44,HR,Executive,Bachelor,27974,16,4,1,1,1
32,IT,Executive,PhD,97091,18,2,3,1,0
55,IT,Executive,PhD,34626,8,3,4,1,0
53,Operations,Manager,Bachelor,136461,9,3,4,0,0
53,IT,Junior,Bachelor,115604,19,2,2,0,1
57,Operations,Manager,PhD,190690,4,4,2,1,0
32,HR,Junior,Master,152332,15,3,3,0,0
23,Finance,Junior,High School,73613,14,1,2,1,1
21,Finance,Senior,Master,101207,16,2,1,0,1
53,HR,Senior,Master,83848,14,1,3,1,1
30,HR,Executive,Bachelor,52552,18,2,1,0,1
49,Sales,Manager,High School,132508,19,4,2,0,0
33,IT,Executive,Bachelor,60281,18,4,3,0,0
32,IT,Manager,Bachelor,59946,14,1,3,1,1
51,IT,Junior,Master,33311,1,4,1,1,1
22,Operations,Manager,PhD,86923,5,2,1,1,1
55,IT,Senior,Master,109482,10,2,4,1,1
43,Sales,Junior,Master,150114,18,4,1,0,0
37,Finance,Senior,Master,113905,10,4,4,0,0
46,Finance,Junior,PhD,94299,7,3,3,1,0
28,Operations,Manager,High School,193594,13,4,4,1,0
49,Sales,Junior,Bachelor,82155,3,1,3,0,0
46,HR,Junior,PhD,102881,1,2,1,1,1
30,Finance,Executive,Master,51767,11,2,2,0,0
46,Sales,Manager,High School,135608,5,1,3,0,0
54,HR,Manager,Bachelor,189815,9,4,3,1,0
27,Operations,Manager,High School,59352,7,1,3,1,1
24,IT,Senior,High School,135362,8,4,3,0,0
31,Sales,Manager,Bachelor,25656,12,4,3,0,0
49,Finance,Manager,PhD,57087,3,2,1,0,1
56,Operations,Senior,High School,122140,12,2,3,0,0
45,Sales,Senior,High School,158117,15,3,1,1,0
41,Operations,Junior,Bachelor,88070,0,1,4,1,1
56,HR,Manager,Bachelor,172804,14,4,3,0,0
30,Sales,Manager,Master,128088,18,3,1,1,0
57,IT,Executive,High School,85250,9,4,4,1,0
29,HR,Senior,PhD,177477,1,3,3,0,0
44,IT,Manager,High School,170134,3,4,4,0,0
55,Operations,Senior,Master,122515,1,3,3,1,0
55,IT,Senior,Bachelor,190375,12,1,3,0,0
56,HR,Junior,Master,155815,17,4,4,1,0
38,HR,Senior,PhD,75132,17,3,2,1,0
59,HR,Manager,Master,129282,2,3,4,0,0
52,Operations,Executive,Bachelor,117285,4,3,4,0,0
44,Finance,Junior,PhD,135532,6,4,4,0,0
43,Operations,Junior,PhD,123164,2,2,2,1,1
52,HR,Senior,PhD,97225,7,2,2,0,1
57,Operations,Junior,Master,193548,5,4,2,0,0
32,Sales,Manager,Bachelor,161763,5,4,3,1,0
33,Sales,Junior,PhD,171199,1,3,3,1,0
43,Finance,Manager,Bachelor,180522,7,2,3,0,0
45,Operations,Executive,Bachelor,137297,12,2,1,1,1
55,Operations,Senior,PhD,68489,9,3,2,1,0
50,Sales,Senior,High School,41254,4,3,1,0,0
37,HR,Junior,PhD,147797,5,3,2,0,0
40,IT,Executive,Bachelor,143277,2,2,4,0,0
45,HR,Senior,Bachelor,72293,9,3,4,0,0
42,Finance,Senior,Master,190822,7,1,1,0,1
33,IT,Manager,High School,50005,15,1,4,1,0
39,HR,Manager,Bachelor,78175,0,3,1,0,0
56,Operations,Manager,PhD,87145,19,4,3,1,0
32,Operations,Manager,High School,147016,15,1,3,0,0
39,Sales,Junior,PhD,56699,16,4,4,1,0
32,Operations,Junior,High School,189881,17,4,1,0,0
29,Operations,Manager,Bachelor,59917,1,2,3,0,0
27,Finance,Executive,High School,172863,11,3,2,1,0
48,IT,Junior,PhD,120983,12,3,1,0,0
34,HR,Manager,PhD,111030,15,1,2,0,0
51,HR,Manager,Master,126173,0,4,4,1,0
39,Finance,Executive,High School,29234,5,2,2,1,1
36,IT,Executive,PhD,102508,10,4,1,0,0
25,Operations,Executive,Master,189997,3,1,2,0,1
55,Finance,Senior,PhD,161809,16,4,3,0,0
32,Operations,Senior,High School,75498,2,2,4,1,0
45,HR,Executive,PhD,56136,17,4,4,1,0
41,Finance,Junior,PhD,163661,7,4,1,0,0
56,Finance,Junior,High School,121278,17,3,2,1,0
43,Finance,Manager,High School,139979,14,1,2,0,1
36,HR,Manager,Master,191943,11,2,4,1,1
59,HR,Executive,High School,141511,7,3,2,1,0
59,Sales,Senior,High School,140111,3,3,2,0,0
34,HR,Manager,PhD,181065,8,3,4,1,0
51,HR,Junior,PhD,25856,7,1,1,0,1
25,Operations,Manager,High School,196674,3,4,2,1,0
55,HR,Junior,Bachelor,82149,18,1,3,1,1
43,IT,Executive,High School,31363,13,2,2,0,1
49,Operations,Senior,High School,89129,2,1,4,0,0
31,Sales,Senior,High School,92135,2,4,2,1,0
38,IT,Junior,High School,22313,14,1,2,1,1
32,Sales,Manager,Master,132232,19,4,1,0,0
29,Finance,Executive,High School,26422,1,1,2,0,1
30,Finance,Manager,PhD,63185,14,3,3,0,0
37,Finance,Junior,Bachelor,69893,11,2,4,1,0
58,HR,Manager,Bachelor,65903,4,1,4,1,1
27,HR,Junior,High School,98971,13,4,2,1,0
33,Operations,Executive,Master,131713,19,4,3,0,0
29,IT,Senior,Bachelor,157573,3,2,4,1,1
47,IT,Executive,High School,187051,14,2,2,0,1
22,Finance,Junior,PhD,90811,15,1,3,1,0
25,Finance,Junior,High School,24925,17,3,2,1,1
49,HR,Senior,Master,123909,19,4,4,1,0
